"Device name","Device ID","Managed by","Creator","OS","OS Version","Domain","Tailscale version","Tags","Created","Last seen","Key expiry","Tailscale IPs","Endpoints","Subnet router","Approved subnet routes","Unapproved subnet routes","Exit node","Ephemeral","Shared in","Tailscale SSH","Funnel"
"chromeos-octopus","nYMZwb2Z2D11CNTRL","kwatkins.4242@gmail.com","kwatkins.4242@gmail.com","android","13","chromeos-octopus.tail277f9f.ts.net","1.94.1-t62c6f1cd7-g90f47bbf5","","2026-02-19T02:19:09Z","2026-02-20T04:33:20Z","2026-08-18T02:19:09Z","100.92.114.40,fd7a:115c:a1e0::3001:72a5","",,"","","true",,,,
"dell","neMEPrr29911CNTRL","kwatkins.4242@gmail.com","kwatkins.4242@gmail.com","windows","10.0.26200.8117","dell.tail277f9f.ts.net","1.96.3-t3ffddb134-g460d8764a","","2026-04-04T14:27:16Z","2026-04-21T23:24:58Z","2026-10-01T14:27:16Z","100.94.244.76,fd7a:115c:a1e0::5d35:f44c","",,"","",,,,,
"dell-1","nVsyBWVEgb11CNTRL","kwatkins.4242@gmail.com","kwatkins.4242@gmail.com","linux","6.8.0-116-generic","dell-1.tail277f9f.ts.net","1.96.4-t8cf541dfd-g62bc84ce7","","2026-05-03T10:34:06Z","2026-05-11T03:08:00Z","2026-10-30T10:34:06Z","100.89.230.53,fd7a:115c:a1e0::fc35:e635","",,"","",,,,,
"desktop-8hfnc0l","n7gCeedq9C21CNTRL","kwatkins.4242@gmail.com","kwatkins.4242@gmail.com","windows","10.0.26200.8117","desktop-8hfnc0l.tail277f9f.ts.net","1.96.3-t3ffddb134-g460d8764a","","2026-03-21T05:04:19Z","2026-04-03T18:53:57Z","2026-09-17T05:04:19Z","100.124.20.26,fd7a:115c:a1e0::d35:141a","",,"","",,,,,
"desktop-bbc28v8","n7XETedw6711CNTRL","kwatkins.4242@gmail.com","kwatkins.4242@gmail.com","windows","10.0.26200.7922","desktop-bbc28v8.tail277f9f.ts.net","1.94.2-t0a29cf18b-g3f044c9f6","","2026-02-18T22:15:29Z","2026-03-10T23:21:51Z","2026-08-17T22:15:29Z","100.73.197.76,fd7a:115c:a1e0::9a01:c5ba","",,"","",,,,,
"duncansdevice","najaAzM74A11CNTRL","kwatkins.4242@gmail.com","kwatkins.4242@gmail.com","windows","10.0.22631.6199","duncansdevice.tail277f9f.ts.net","1.96.3-t3ffddb134-g460d8764a","","2026-04-06T01:11:05Z","2026-04-21T00:30:23Z","2026-10-03T01:11:05Z","100.64.85.65,fd7a:115c:a1e0::6035:5541","",,"","",,,,,
"fedora","nLk9ajNEoT11CNTRL","kwatkins.4242@gmail.com","kwatkins.4242@gmail.com","linux","7.0.4-200.fc44.x86_64","fedora.tail277f9f.ts.net","1.96.4-t8cf541dfd-g62bc84ce7","","2026-05-11T09:05:17Z","2026-05-13T03:10:05Z","2026-11-07T09:05:17Z","100.73.204.18,fd7a:115c:a1e0::7a35:cc13","",,"","",,,,,
"fedora-1","nNmdzqtKvs11CNTRL","kwatkins.4242@gmail.com","kwatkins.4242@gmail.com","linux","7.0.4-200.fc44.x86_64","fedora-1.tail277f9f.ts.net","1.96.4-t8cf541dfd-g62bc84ce7","","2026-05-11T22:18:35Z",,"2026-11-07T22:18:35Z","100.89.101.29,fd7a:115c:a1e0::8c35:651d","",,"","",,,,,
"iphone174","nbfXKV9au711CNTRL","kwatkins.4242@gmail.com","kwatkins.4242@gmail.com","iOS","26.4.2","iphone174.tail277f9f.ts.net","1.96.5-t4ee448d3a-g74ffbefc2","","2026-04-02T06:31:28Z","2026-05-12T00:56:10Z","2026-09-29T06:31:28Z","100.105.251.40,fd7a:115c:a1e0::5235:fb28","",,"","",,,,,
"localhost5000","n4EKnvchSZ11CNTRL","kwatkins.4242@gmail.com","kwatkins.4242@gmail.com","iOS","26.3.0","localhost5000.tail277f9f.ts.net","1.94.1-t62c6f1cd7-g09fea6572","","2026-02-18T22:14:05Z","2026-03-11T00:26:10Z","2026-08-17T22:14:05Z","100.91.35.47,fd7a:115c:a1e0::2b01:23a1","",,"","",,,,,
